Company Name,Industry,Symbol,Series,ISIN Code
DEE Development Engineers Ltd.,Capital Goods,DEEDEV,EQ,INE841L01016
DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS,EQ,INE321T01012
Deepak Builders & Engineers India Ltd.,Construction,DBEIL,EQ,INE0OPA01019
Diffusion Engineers Ltd.,Capital Goods,DIFFNKG,EQ,INE184O01015
EMS Ltd.,Utilities,EMSLIMITED,EQ,INE0OV601013
EPACK Durable Ltd.,Consumer Durables,EPACK,BE,INE0G5901015
ESAF Small Finance Bank Ltd.,Financial Services,ESAFSFB,EQ,INE818W01011
Ecos (India) Mobility & Hospitality Ltd.,Services,ECOSMOBLTY,EQ,INE06HJ01020
Emcure Pharmaceuticals Ltd.,Healthcare,EMCURE,EQ,INE168P01015
Entero Healthcare Solutions Ltd.,Consumer Services,ENTERO,EQ,INE010601016
Exicom Tele-Systems Ltd.,Capital Goods,EXICOM,EQ,INE777F01014
Fedbank Financial Services Ltd.,Financial Services,FEDFINA,EQ,INE007N01010
Flair Writing Industries Ltd.,Fast Moving Consumer Goods,FLAIR,EQ,INE00Y201027
GPT Healthcare Ltd.,Healthcare,GPTHEALTH,EQ,INE486R01017
Gala Precision Engineering Ltd.,Capital Goods,GALAPREC,EQ,INE0RE001014
Gandhar Oil Refinery (India) Ltd.,Oil Gas & Consumable Fuels,GANDHAR,EQ,INE717W01049
Garuda Construction and Engineering Ltd.,Construction,GARUDA,EQ,INE0JVO01026
Go Digit General Insurance Ltd.,Financial Services,GODIGIT,EQ,INE03JT01014
Godavari Biorefineries Ltd.,Fast Moving Consumer Goods,GODAVARIB,EQ,INE497S01012
Gopal Snacks Ltd.,Fast Moving Consumer Goods,GOPAL,EQ,INE0L9R01028
Happy Forgings Ltd.,Capital Goods,HAPPYFORGE,EQ,INE330T01021
Honasa Consumer Ltd.,Fast Moving Consumer Goods,HONASA,EQ,INE0J5401028
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,EQ,INE0V6F01027
INOX India Ltd.,Capital Goods,INOXINDIA,EQ,INE616N01034
IRM Energy Ltd.,Oil Gas & Consumable Fuels,IRMENERGY,EQ,INE07U701015
Indegene Ltd.,Healthcare,INDGN,EQ,INE065X01017
India Shelter Finance Corporation Ltd.,Financial Services,INDIASHLTR,EQ,INE922K01024
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA,EQ,INE202E01016
Innova Captab Ltd.,Healthcare,INNOVACAP,EQ,INE0DUT01020
Interarch Building Products Ltd.,Construction,INTERARCH,EQ,INE00M901018
J.G.Chemicals Ltd.,Chemicals,JGCHEM,EQ,INE0MB501011
JNK India Ltd.,Capital Goods,JNKINDIA,EQ,INE0OAF01028
JSW Infrastructure Ltd.,Services,JSWINFRA,EQ,INE880J01026
Jana Small Finance Bank Ltd.,Financial Services,JSFB,EQ,INE953L01027
Juniper Hotels Ltd.,Consumer Services,JUNIPER,EQ,INE696F01016
Jupiter Life Line Hospitals Ltd.,Healthcare,JLHL,EQ,INE682M01012
Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC,EQ,INE980O01024
KRN Heat Exchanger and Refrigeration Ltd.,Capital Goods,KRN,EQ,INE0Q3J01015
Kronox Lab Sciences Ltd.,Chemicals,KRONOX,EQ,INE0ATZ01017
Kross Ltd.,Automobile and Auto Components,KROSS,EQ,INE0O6601022
Krystal Integrated Services Ltd.,Services,KRYSTAL,EQ,INE0QN801017
Le Travenues Technology Ltd.,Consumer Services,IXIGO,EQ,INE0HV901016
Manba Finance Ltd.,Financial Services,MANBA,EQ,INE939X01013
Manoj Vaibhav Gems 'N' Jewellers Ltd.,Consumer Durables,MVGJL,EQ,INE0KNT01012
Medi Assist Healthcare Services Ltd.,Financial Services,MEDIASSIST,EQ,INE456Z01021
Motisons Jewellers Ltd.,Consumer Durables,MOTISONS,BE,INE0FRK01020
Mukka Proteins Ltd.,Fast Moving Consumer Goods,MUKKA,EQ,INE0CG401037
Muthoot Microfin Ltd.,Financial Services,MUTHOOTMF,EQ,INE046W01019
Niva Bupa Health Insurance Company Ltd.,Financial Services,NIVABUPA,EQ,INE995S01015
Northern Arc Capital Ltd.,Financial Services,NORTHARC,EQ,INE850M01015
Nova Agritech Ltd.,Chemicals,NOVAAGRI,EQ,INE02H701025
Ola Electric Mobility Ltd.,Automobile and Auto Components,OLAELEC,EQ,INE0LXG01040
Orient Technologies Ltd.,Information Technology,ORIENTTECH,EQ,INE0PPK01015
P N Gadgil Jewellers Ltd.,Consumer Durables,PNGJL,EQ,INE953R01016
Platinum Industries Ltd.,Chemicals,PLATIND,EQ,INE0PT501018
Popular Vehicles and Services Ltd.,Automobile and Auto Components,PVSL,EQ,INE772T01024
Premier Energies Ltd.,Capital Goods,PREMIERENE,EQ,INE0BS701011
Pyramid Technoplast Ltd.,Capital Goods,PYRAMID,EQ,INE0MIS01010
R K Swamy Ltd.,Media Entertainment & Publication,RKSWAMY,EQ,INE0NQ801033
R R Kabel Ltd.,Capital Goods,RRKABEL,EQ,INE777K01022
Rashi Peripherals Ltd.,Information Technology,RPTECH,EQ,INE0J1F01024
Ratnaveer Precision Engineering Ltd.,Capital Goods,RATNAVEER,EQ,INE05CZ01011
Rishabh Instruments Ltd.,Capital Goods,RISHABH,EQ,INE0N2P01017
SBFC Finance Ltd.,Financial Services,SBFC,EQ,INE423Y01016
Sagility India Ltd.,Information Technology,SAGILITY,EQ,INE0W2G01015
Sai Silks (Kalamandir) Ltd.,Consumer Services,KALAMANDIR,EQ,INE438K01021
Samhi Hotels Ltd.,Consumer Services,SAMHI,EQ,INE08U801020
Sanstar Ltd.,Fast Moving Consumer Goods,SANSTAR,EQ,INE08NE01025
Saraswati Saree Depot Ltd.,Textiles,SSDL,EQ,INE0PQ101010
Shree Tirupati Balajee Agro Trading Company Ltd.,Capital Goods,BALAJEE,EQ,INE0S2G01011
Signatureglobal (India) Ltd.,Realty,SIGNATURE,EQ,INE903U01023
Stanley Lifestyles Ltd.,Consumer Durables,STANLEY,EQ,INE01A001028
Suraj Estate Developers Ltd.,Realty,SURAJEST,EQ,INE843S01025
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014
TBO Tek Ltd.,Consumer Services,TBOTEK,EQ,INE673O01025
TVS Supply Chain Solutions Ltd.,Services,TVSSCS,EQ,INE395N01027
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025
Tolins Tyres Ltd.,Automobile and Auto Components,TOLINS,EQ,INE0RWQ01014
Unicommerce Esolutions Ltd.,Information Technology,UNIECOM,EQ,INE00U401027
Updater Services Ltd.,Services,UDS,EQ,INE851I01011
Valiant Laboratories Ltd.,Healthcare,VALIANTLAB,EQ,INE0JWS01017
Vibhor Steel Tubes Ltd.,Capital Goods,VSTL,EQ,INE0QTF01015
Vishnu Prakash R Punglia Ltd.,Construction,VPRPL,EQ,INE0AE001013
Vraj Iron and Steel Ltd.,Metals & Mining,VRAJ,EQ,INE0S2V01010
Waaree Energies Ltd.,Capital Goods,WAAREEENER,EQ,INE377N01017
Western Carriers (India) Ltd.,Services,WCIL,EQ,INE0CJF01024
Yatharth Hospital & Trauma Care Services Ltd.,Healthcare,YATHARTH,EQ,INE0JO301016
Yatra Online Ltd.,Consumer Services,YATRA,EQ,INE0JR601024
Zaggle Prepaid Ocean Services Ltd.,Information Technology,ZAGGLE,BE,INE07K301024
Zinka Logistics Solutions Ltd.,Services,BLACKBUCK,EQ,INE0UIZ01018
